iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
43,"(1, 9)","(1, 10)",South,"[((1, 8), 'South', 17179869198)]","['(25, 14)', '(34, 14)']","['(1, 8)', '(34, 14)', '(25, 14)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (1, 9), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (11, 16), (33, 16), (1, 11), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (26, 16), (15, 16), (6, 16), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 13), (1, 10), (1, 16)]",17179869196,0,17179869196
44,"(1, 8)","(1, 9)",South,"[((1, 7), 'South', 17179869200)]","['(25, 14)', '(34, 14)']","['(1, 7)', '(34, 14)', '(25, 14)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (1, 9), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (11, 16), (33, 16), (1, 11), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (1, 8), (26, 16), (15, 16), (6, 16), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 13), (1, 10), (1, 16)]",17179869198,0,17179869198
45,"(1, 7)","(1, 8)",South,"[((2, 7), 'East', 17179869204)]","['(25, 14)', '(34, 14)']","['(2, 7)', '(34, 14)', '(25, 14)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (1, 9), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (11, 16), (33, 16), (1, 11), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (1, 8), (26, 16), (15, 16), (6, 16), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 13), (1, 7), (1, 10), (1, 16)]",17179869200,0,17179869200
46,"(2, 7)","(1, 7)",East,"[((3, 7), 'East', 17179869212)]","['(25, 14)', '(34, 14)']","['(3, 7)', '(34, 14)', '(25, 14)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (1, 9), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (11, 16), (33, 16), (1, 11), (2, 7), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (1, 8), (26, 16), (15, 16), (6, 16), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 13), (1, 7), (1, 10), (1, 16)]",17179869204,0,17179869204
47,"(3, 7)","(2, 7)",East,"[((4, 7), 'East', 17179869228)]","['(25, 14)', '(34, 14)']","['(4, 7)', '(34, 14)', '(25, 14)']","[(21, 16), (23, 16), (34, 16), (12, 16), (3, 7), (14, 16), (3, 16), (5, 16), (27, 16), (1, 9), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (11, 16), (33, 16), (1, 11), (2, 7), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (1, 8), (26, 16), (15, 16), (6, 16), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 13), (1, 7), (1, 10), (1, 16)]",17179869212,0,17179869212
48,"(4, 7)","(3, 7)",East,"[((4, 8), 'North', 17179869244)]","['(25, 14)', '(34, 14)']","['(4, 8)', '(34, 14)', '(25, 14)']","[(21, 16), (23, 16), (34, 16), (12, 16), (3, 7), (14, 16), (3, 16), (5, 16), (27, 16), (1, 9), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (11, 16), (33, 16), (1, 11), (2, 7), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (1, 8), (26, 16), (15, 16), (6, 16), (4, 7), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 13), (1, 7), (1, 10), (1, 16)]",17179869228,0,17179869228
49,"(4, 8)","(4, 7)",North,"[((4, 9), 'North', 17179869260)]","['(25, 14)', '(34, 14)']","['(4, 9)', '(34, 14)', '(25, 14)']","[(21, 16), (23, 16), (34, 16), (12, 16), (3, 7), (14, 16), (3, 16), (5, 16), (27, 16), (1, 9), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (4, 8), (34, 15), (9, 16), (11, 16), (33, 16), (1, 11), (2, 7), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (1, 8), (26, 16), (15, 16), (6, 16), (4, 7), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 13), (1, 7), (1, 10), (1, 16)]",17179869244,0,17179869244
50,"(4, 9)","(4, 8)",North,"[((4, 10), 'North', 17179869276)]","['(25, 14)', '(34, 14)']","['(4, 10)', '(34, 14)', '(25, 14)']","[(21, 16), (4, 9), (23, 16), (34, 16), (12, 16), (3, 7), (14, 16), (3, 16), (5, 16), (27, 16), (1, 9), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (4, 8), (34, 15), (9, 16), (11, 16), (33, 16), (1, 11), (2, 7), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (1, 8), (26, 16), (15, 16), (6, 16), (4, 7), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 13), (1, 7), (1, 10), (1, 16)]",17179869260,0,17179869260
51,"(4, 10)","(4, 9)",North,"[((4, 11), 'North', 17179869292), ((3, 10), 'West', 17179869284)]","['(25, 14)', '(34, 14)']","['(3, 10)', '(4, 11)', '(25, 14)', '(34, 14)']",[51 states],17179869276,0,17179869276
52,"(3, 10)","(4, 10)",West,[],"['(4, 11)', '(34, 14)', '(25, 14)']","['(4, 11)', '(34, 14)', '(25, 14)']",[52 states],17179869284,0,17179869284
