iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
36,"(16, 19)","(15, 19)",East,"[((17, 19), 'East')]","['(1, 18)']","['(1, 18)', '(17, 19)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (16, 19), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19)]",35,0,35
37,"(17, 19)","(16, 19)",East,"[((17, 18), 'South')]","['(1, 18)']","['(1, 18)', '(17, 18)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (16, 19), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19)]",36,0,36
38,"(17, 18)","(17, 19)",South,"[((17, 17), 'South')]","['(1, 18)']","['(1, 18)', '(17, 17)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (16, 19), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19)]",37,0,37
39,"(17, 17)","(17, 18)",South,"[((17, 16), 'South'), ((16, 17), 'West')]","['(1, 18)']","['(1, 18)', '(17, 16)', '(16, 17)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (16, 19), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19)]",38,0,38
40,"(16, 17)","(17, 17)",West,"[((15, 17), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(15, 17)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (16, 19), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19), (16, 17)]",39,0,39
41,"(15, 17)","(16, 17)",West,"[((14, 17), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(14, 17)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (16, 19), (15, 17), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19), (16, 17)]",40,0,40
42,"(14, 17)","(15, 17)",West,"[((13, 17), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(13, 17)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (16, 19), (15, 17), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (14, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19), (16, 17)]",41,0,41
43,"(13, 17)","(14, 17)",West,"[((13, 16), 'South')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(13, 16)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (13, 17), (16, 19), (15, 17), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (14, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19), (16, 17)]",42,0,42
44,"(13, 16)","(13, 17)",South,"[((13, 15), 'South')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(13, 15)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (13, 17), (16, 19), (15, 17), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (13, 16), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (14, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19), (16, 17)]",43,0,43
45,"(13, 15)","(13, 16)",South,"[((13, 14), 'South')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(13, 14)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (13, 17), (16, 19), (15, 17), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (13, 16), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (14, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (13, 15), (1, 19), (16, 17)]",44,0,44
