iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
38,"(27, 8)","(27, 7)",North,"[((27, 9), 'North', 8, 34, 42)]","['(8, 3)']","['(8, 3)', '(27, 9)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 6), (5, 3), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (7, 3), (3, 2), (4, 1), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (6, 3), (21, 1)]",7,33,40
39,"(8, 3)","(7, 3)",East,"[((9, 3), 'East', 32, 10, 42)]","['(27, 9)']","['(27, 9)', '(9, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (8, 3), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 6), (5, 3), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (7, 3), (3, 2), (4, 1), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (6, 3), (21, 1)]",31,9,40
40,"(27, 9)","(27, 8)",North,"[((26, 9), 'West', 9, 33, 42)]","['(9, 3)']","['(9, 3)', '(26, 9)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (8, 3), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 6), (5, 3), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (7, 3), (3, 2), (4, 1), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (6, 3), (21, 1)]",8,34,42
41,"(9, 3)","(8, 3)",East,"[((10, 3), 'East', 33, 11, 44)]","['(26, 9)']","['(26, 9)', '(10, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (8, 3), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 6), (5, 3), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (7, 3), (3, 2), (4, 1), (27, 2), (27, 8), (17, 1), (27, 5), (9, 3), (19, 1), (8, 1), (10, 1), (6, 3), (21, 1)]",32,10,42
42,"(26, 9)","(27, 9)",West,"[((25, 9), 'West', 10, 32, 42)]","['(10, 3)']","['(25, 9)', '(10, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (8, 3), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 6), (5, 3), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (7, 3), (3, 2), (4, 1), (27, 2), (27, 8), (17, 1), (27, 5), (9, 3), (19, 1), (8, 1), (10, 1), (26, 9), (6, 3), (21, 1)]",9,33,42
43,"(25, 9)","(26, 9)",West,"[((24, 9), 'West', 11, 31, 42)]","['(10, 3)']","['(24, 9)', '(10, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (8, 3), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 6), (5, 3), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (25, 9), (6, 1), (15, 1), (7, 3), (3, 2), (4, 1), (27, 2), (27, 8), (17, 1), (27, 5), (9, 3), (19, 1), (8, 1), (10, 1), (26, 9), (6, 3), (21, 1)]",10,32,42
44,"(24, 9)","(25, 9)",West,"[((23, 9), 'West', 12, 30, 42)]","['(10, 3)']","['(23, 9)', '(10, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (8, 3), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 6), (5, 3), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (25, 9), (6, 1), (15, 1), (7, 3), (3, 2), (4, 1), (27, 2), (27, 8), (17, 1), (27, 5), (9, 3), (19, 1), (8, 1), (10, 1), (24, 9), (26, 9), (6, 3), (21, 1)]",11,31,42
45,"(23, 9)","(24, 9)",West,"[((22, 9), 'West', 13, 29, 42)]","['(10, 3)']","['(22, 9)', '(10, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (8, 3), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (23, 9), (3, 3), (27, 6), (5, 3), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (25, 9), (6, 1), (15, 1), (7, 3), (3, 2), (4, 1), (27, 2), (27, 8), (17, 1), (27, 5), (9, 3), (19, 1), (8, 1), (10, 1), (24, 9), (26, 9), (6, 3), (21, 1)]",12,30,42
46,"(22, 9)","(23, 9)",West,"[((21, 9), 'West', 14, 28, 42)]","['(10, 3)']","['(21, 9)', '(10, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (8, 3), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (23, 9), (3, 3), (27, 6), (5, 3), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (25, 9), (6, 1), (15, 1), (7, 3), (3, 2), (22, 9), (4, 1), (27, 2), (27, 8), (17, 1), (27, 5), (9, 3), (19, 1), (8, 1), (10, 1), (24, 9), (26, 9), (6, 3), (21, 1)]",13,29,42
47,"(21, 9)","(22, 9)",West,"[((21, 8), 'South', 15, 27, 42), ((20, 9), 'West', 15, 27, 42)]","['(10, 3)']","['(21, 8)', '(10, 3)', '(20, 9)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (8, 3), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (21, 9), (23, 9), (3, 3), (27, 6), (5, 3), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (25, 9), (6, 1), (15, 1), (7, 3), (3, 2), (22, 9), (4, 1), (27, 2), (27, 8), (17, 1), (27, 5), (9, 3), (19, 1), (8, 1), (10, 1), (24, 9), (26, 9), (6, 3), (21, 1)]",14,28,42
