iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
27,"(34, 7)","(34, 8)",South,"[((34, 6), 'South', 38)]","['(33, 16)']","['(34, 6)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",25,39,39
28,"(34, 6)","(34, 7)",South,"[((33, 6), 'West', 37)]","['(33, 16)']","['(33, 6)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",26,38,38
29,"(33, 6)","(34, 6)",West,"[((32, 6), 'West', 36)]","['(33, 16)']","['(32, 6)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",27,37,37
30,"(32, 6)","(33, 6)",West,"[((31, 6), 'West', 35)]","['(33, 16)']","['(31, 6)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",28,36,36
31,"(31, 6)","(32, 6)",West,"[((30, 6), 'West', 34)]","['(33, 16)']","['(30, 6)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",29,35,35
32,"(30, 6)","(31, 6)",West,"[((30, 5), 'South', 33), ((29, 6), 'West', 33)]","['(33, 16)']","['(30, 5)', '(33, 16)', '(29, 6)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",30,34,34
33,"(30, 5)","(30, 6)",South,"[((30, 4), 'South', 32)]","['(29, 6)', '(33, 16)']","['(30, 4)', '(33, 16)', '(29, 6)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",31,33,33
34,"(30, 4)","(30, 5)",South,"[((30, 3), 'South', 31), ((31, 4), 'East', 33)]","['(29, 6)', '(33, 16)']","['(30, 3)', '(31, 4)', '(29, 6)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",32,32,32
35,"(30, 3)","(30, 4)",South,"[((31, 3), 'East', 32)]","['(29, 6)', '(31, 4)', '(33, 16)']","['(31, 3)', '(29, 6)', '(33, 16)', '(31, 4)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",33,31,31
36,"(31, 3)","(30, 3)",East,"[((31, 4), 'North', 33)]","['(29, 6)', '(31, 4)', '(33, 16)']","['(29, 6)', '(31, 4)', '(33, 16)', '(31, 4)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",34,32,32
37,"(29, 6)","(30, 6)",West,[],"['(31, 4)', '(31, 4)', '(33, 16)']","['(31, 4)', '(31, 4)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",31,33,33
38,"(31, 4)","(30, 4)",East,"[((32, 4), 'East', 34)]","['(31, 4)', '(33, 16)']","['(31, 4)', '(33, 16)', '(32, 4)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",33,33,33
39,"(32, 4)","(31, 4)",East,"[((33, 4), 'East', 35)]","['(33, 16)']","['(33, 4)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",34,34,34
40,"(33, 4)","(32, 4)",East,"[((34, 4), 'East', 36)]","['(33, 16)']","['(34, 4)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",35,35,35
41,"(34, 4)","(33, 4)",East,"[((34, 3), 'South', 35)]","['(33, 16)']","['(34, 3)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",36,36,36
42,"(34, 3)","(34, 4)",South,"[((34, 2), 'South', 34)]","['(33, 16)']","['(34, 2)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",37,35,35
43,"(34, 2)","(34, 3)",South,"[((34, 1), 'South', 33)]","['(33, 16)']","['(34, 1)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",38,34,34
44,"(34, 1)","(34, 2)",South,"[((33, 1), 'West', 32)]","['(33, 16)']","['(33, 1)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",39,33,33
45,"(33, 1)","(34, 1)",West,"[((32, 1), 'West', 31)]","['(33, 16)']","['(32, 1)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",40,32,32
46,"(32, 1)","(33, 1)",West,"[((31, 1), 'West', 30)]","['(33, 16)']","['(31, 1)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",41,31,31
47,"(31, 1)","(32, 1)",West,"[((30, 1), 'West', 29)]","['(33, 16)']","['(30, 1)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",42,30,30
48,"(30, 1)","(31, 1)",West,"[((29, 1), 'West', 28)]","['(33, 16)']","['(29, 1)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",43,29,29
