iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
43,"(7, 1)","(8, 1)",West,"[((6, 1), 'West', 21)]","['(15, 8)', '(14, 9)']","['(15, 8)', '(14, 9)', '(6, 1)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (21, 9), (23, 9), (15, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (16, 9), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",20,0,20
44,"(15, 8)","(15, 9)",South,"[((15, 7), 'South', 22)]","['(14, 9)', '(6, 1)']","['(14, 9)', '(6, 1)', '(15, 7)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (7, 1), (15, 8), (22, 1), (20, 1), (21, 9), (23, 9), (15, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (16, 9), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",21,0,21
45,"(14, 9)","(15, 9)",West,"[((13, 9), 'West', 22)]","['(6, 1)', '(15, 7)']","['(6, 1)', '(15, 7)', '(13, 9)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (7, 1), (15, 8), (22, 1), (20, 1), (21, 9), (23, 9), (15, 9), (14, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (16, 9), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",21,0,21
46,"(6, 1)","(7, 1)",West,"[((5, 1), 'West', 22)]","['(15, 7)', '(13, 9)']","['(15, 7)', '(13, 9)', '(5, 1)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (7, 1), (15, 8), (22, 1), (20, 1), (21, 9), (23, 9), (15, 9), (14, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (6, 1), (15, 1), (16, 9), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",21,0,21
47,"(15, 7)","(15, 8)",South,[],"['(13, 9)', '(5, 1)']","['(13, 9)', '(5, 1)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (7, 1), (15, 8), (22, 1), (20, 1), (21, 9), (23, 9), (15, 9), (14, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (6, 1), (15, 1), (16, 9), (15, 7), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",22,0,22
48,"(13, 9)","(14, 9)",West,"[((12, 9), 'West', 23)]","['(5, 1)']","['(5, 1)', '(12, 9)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (7, 1), (15, 8), (22, 1), (20, 1), (21, 9), (23, 9), (15, 9), (14, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (6, 1), (15, 1), (16, 9), (15, 7), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (24, 9), (13, 9), (26, 9), (21, 1), (21, 7)]",22,0,22
49,"(5, 1)","(6, 1)",West,"[((4, 1), 'West', 23)]","['(12, 9)']","['(12, 9)', '(4, 1)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (5, 1), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (7, 1), (15, 8), (22, 1), (20, 1), (21, 9), (23, 9), (15, 9), (14, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (6, 1), (15, 1), (16, 9), (15, 7), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (24, 9), (13, 9), (26, 9), (21, 1), (21, 7)]",22,0,22
50,"(12, 9)","(13, 9)",West,"[((11, 9), 'West', 24)]","['(4, 1)']","['(4, 1)', '(11, 9)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (5, 1), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (7, 1), (15, 8), (22, 1), (20, 1), (21, 9), (23, 9), (12, 9), (15, 9), (14, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (6, 1), (15, 1), (16, 9), (15, 7), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (24, 9), (13, 9), (26, 9), (21, 1), (21, 7)]",23,0,23
51,"(4, 1)","(5, 1)",West,"[((3, 1), 'West', 24)]","['(11, 9)']","['(11, 9)', '(3, 1)']",[51 states],23,0,23
52,"(11, 9)","(12, 9)",West,"[((10, 9), 'West', 25)]","['(3, 1)']","['(3, 1)', '(10, 9)']",[52 states],24,0,24
